model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
Aygo,2017,9250,Manual,4414,Other,150,68.9,1
Aygo,2017,7100,Manual,32351,Petrol,0,68.9,1
Aygo,2016,6500,Manual,26193,Petrol,0,69,1
Aygo,2017,7650,Manual,12134,Petrol,0,68.9,1
Aygo,2016,6999,Manual,21123,Petrol,0,69,1
Aygo,2015,6495,Manual,33931,Petrol,0,69,1
Aygo,2018,8998,Semi-Auto,19885,Petrol,145,67.3,1
Aygo,2017,6998,Manual,36975,Petrol,145,68.9,1
Aygo,2017,7498,Manual,40405,Petrol,145,68.9,1
Aygo,2017,6800,Manual,32725,Petrol,145,68.9,1
Aygo,2017,7498,Manual,14257,Petrol,145,68.9,1
Aygo,2019,9998,Manual,3291,Petrol,145,56.5,1
Aygo,2017,7998,Manual,11675,Petrol,0,68.9,1
Aygo,2019,9498,Manual,2807,Petrol,145,56.5,1
Aygo,2014,5985,Manual,24176,Petrol,0,69,1
Aygo,2017,6522,Manual,30025,Petrol,0,69,1
Aygo,2016,6995,Manual,13171,Petrol,0,69,1
Aygo,2017,6995,Manual,10172,Petrol,145,69,1
Aygo,2017,7495,Manual,20253,Petrol,145,68.9,1
Aygo,2017,6895,Manual,8583,Petrol,150,69,1
Aygo,2016,6995,Manual,18842,Petrol,0,69,1
Aygo,2017,6995,Manual,9914,Petrol,145,69,1
Aygo,2017,6795,Manual,19150,Petrol,150,69,1
Aygo,2016,6495,Manual,19780,Petrol,0,69,1
Aygo,2017,7395,Manual,19502,Petrol,150,68.9,1
Aygo,2017,7995,Manual,9976,Petrol,150,68.9,1
Aygo,2017,6522,Manual,28033,Petrol,0,69,1
Aygo,2017,6495,Manual,24882,Petrol,0,69,1
Aygo,2017,6995,Manual,8932,Petrol,145,69,1
Aygo,2016,5995,Manual,31473,Petrol,0,69,1
Aygo,2019,10995,Manual,355,Petrol,145,57.7,1
Aygo,2019,9998,Manual,6721,Petrol,145,57.7,1
Aygo,2017,8495,Automatic,23589,Petrol,0,67,1
Aygo,2019,10295,Manual,2865,Petrol,145,57.7,1
Aygo,2018,8890,Manual,6275,Petrol,145,56.5,1
Aygo,2017,6798,Manual,13036,Petrol,0,69,1
Aygo,2017,7498,Manual,13046,Petrol,145,68.9,1
Aygo,2017,7998,Manual,11468,Petrol,150,68.9,1
Aygo,2019,9260,Manual,150,Petrol,145,56.5,1
Aygo,2016,6295,Manual,9000,Petrol,0,69,1
Aygo,2017,7298,Manual,27268,Petrol,145,69,1
Aygo,2017,7498,Manual,30001,Petrol,145,68.9,1
Aygo,2019,9995,Manual,148,Petrol,145,56.5,1
Aygo,2019,10995,Semi-Auto,390,Petrol,145,55.4,1
Aygo,2017,7498,Manual,25186,Petrol,0,68.9,1
Aygo,2017,9298,Semi-Auto,10559,Petrol,145,67.3,1
Aygo,2019,9998,Manual,2347,Petrol,145,56.5,1
Aygo,2017,7498,Manual,31693,Petrol,145,68.9,1
Aygo,2016,6998,Manual,21145,Petrol,0,69,1
Aygo,2014,4290,Manual,31010,Petrol,0,65.7,1
Aygo,2014,4998,Manual,27809,Petrol,0,65.7,1
Aygo,2017,6498,Manual,24512,Petrol,0,69,1
Aygo,2019,8998,Manual,21786,Petrol,145,56.5,1
Aygo,2016,6998,Manual,31501,Petrol,0,69,1
Aygo,2017,7498,Manual,29978,Petrol,150,68.9,1
Aygo,2016,6498,Manual,23901,Petrol,0,69,1
Aygo,2018,8498,Semi-Auto,41626,Petrol,150,67.3,1
Aygo,2017,7998,Manual,8150,Petrol,150,68.9,1
Aygo,2016,6498,Manual,25065,Petrol,0,69,1
Aygo,2014,5498,Manual,36320,Petrol,0,69,1
Aygo,2017,8498,Manual,7287,Petrol,145,68.9,1
Aygo,2017,7498,Manual,25413,Petrol,150,68.9,1
Aygo,2017,6798,Manual,9701,Petrol,150,69,1
Aygo,2017,7998,Manual,15197,Petrol,145,68.9,1
Aygo,2017,7298,Manual,16523,Petrol,145,68.9,1
Aygo,2017,6998,Manual,8044,Petrol,145,69,1
Aygo,2017,6998,Manual,13423,Petrol,145,69,1
Aygo,2017,7998,Manual,12096,Petrol,150,68.9,1
Aygo,2018,7998,Manual,18410,Petrol,150,68.9,1
Aygo,2015,5998,Manual,24568,Petrol,0,69,1
Aygo,2015,6498,Manual,36121,Petrol,0,69,1
Aygo,2018,7698,Manual,17369,Petrol,145,68.9,1
Aygo,2017,8998,Manual,14998,Petrol,145,68.9,1
Aygo,2017,8998,Manual,12445,Petrol,145,68.9,1
Aygo,2017,7998,Manual,11066,Petrol,145,68.9,1
Aygo,2017,7998,Manual,7174,Petrol,145,68.9,1
Aygo,2014,5998,Manual,33154,Petrol,0,69,1
